Category,Sub,Question,Intent,Answer
47,0,In an accident happening how will you remove a helmet,RemoveHelmetAfterAccident,Open the chinstrap first. One person sits on right or left of persons head and raises the head and neck from the floor. another person sits at the head end and gently removes the helmet keeping the head stationary. 
48,0,Which kind of helmet should one wear,TypeOfHelmet,Always wear a helmet with ISI mark or any other latest recommended and available
49,0,What is ISI,WhatISI,ISI is Indian Standard Institute
50,0,what does center single continous white line on road indicate ?,SingleContinousWhiteLine,It means do not overtake 
51,0,What are the signs of acute heart attack?,SignsOfAcuteHeartAttack,"Severe unbareable pain in chest radiating to left shoulder , neck or hand , sweating blurring of vision, nausea-giving a sense of doom which indicates a feeling never sensed before"
52,0,How would you handle a heart attack,HandleHeartAttack,Keep tablet Isordil 5mg under the tongue (Sublingual. Also give tablet Disprin 325 or 350 mg to chew or in quarter cup of water. Shift or call for ambulance
53,0,how would you handle a person of drowning?,HandleDrowning,"with water having entered the body , place the person on her/his stomach (prone position) and apply compression on back so that water gushes out from the body"
54,0,What care should one take while shifting an injured victim,ShiftingInjuredVictim,You should be gentle and avoid sudden jerks while moving the victim
55,0,How many people should lift and injured ,PeopleLiftingVictim,At least 3 people should help move a victim
56,0,What do you understand by life safety,LifeSaftey,It means a person is in need of some help
57,0,Do you know that maximum numbers of persons are dying in road accidents in our country,MaxDeathsRoadAccident,yes
58,0,As a good citizen what is your duty in case of road accident,AccidentDuty,to stop and do the best possible
59,0,have you ever helped a person either at home or elsewhere,HelpedPerson,No
60,0,What should you do when a speeding vehicle behind you honks constantly,Tailgating,Let it over take you
61,0,Compulsoary signs are exhibited in which shape ,CompulsoarySigns,Circular
62,0,A circular blue sign with a red border and two red diagonals lines crossing it means what,NoStopSign,no stopping
63,0,"If there is a traffic jam, Can the motorized vehicle two wheelers use cycle lanes to minimize traffic",TwoWheelersUseCycleLanes,Yes
64,0,"In case of an accident, which knowledge of yours can be helpful to the injured person ?",SequentialHandling,The knowledge of sequential handling (First aid) will be to use in such a case
65,0,"Near a pedestrian crossing, when the pedestrians are waiting to cross the road, what should be done?",PedestrianWaitingToCross,You should stop the vehicle and let the pedestrians cross the road and then proceed
66,0,When is dipping your lights necessary ?,DippingLights,When the weather is foggy and vision is drastically reduced
67,0,What is the colour of the number plate of a commercial vehicle ,CommercialNoPlateColor,The number plate has a white background with black letters and numbers
68,0,If you find green light and pedestrians are crossing the road what should we do ?,PedestrianWhileGreenForCar,You should stop and wait for them to pass and only proceed when there is no one on the road.Of course warn them not to repeat the offence as they can be a victim to an accident happening.
69,0,Which traffic light should be lit after green,TrafficLightAfterGreen,"yellow light should get lit, it indicates to us to be ready to stop"
70,0,From which side can we overtake a vehicle,VehicleOvertakeSide,You should overtake from the right side of the vehicle
71,0,Red traffic light indicates,RedForCar,It indicates to stop the vehicle
72,0,"In case of an accident , to seek a ""Emergency Ambulance"", what numbers should be dialed?",AmbulanceContact,The number to be dialed is 108
73,0,What is the validity of a learners license,LLValidity,Up to 6 months from the date of issue of learners License
74,0,"While driving at night on city roads, should we keep our headlights on",LowBeamWhileInCity,Low beam should be preffered scince it does not blind the person coming directly facing you and thus prevents accidents
75,0,is driving license valid throughout the country,DLNational,Yes
76,0,When do we use handbrake,UseOfHandbrake,"We use it to park a vehicle, it helps the vehicle stay in place and not move over slopes or on force"
77,0,What does blinking yellow traffic light mean,BlinkingYellowForCar,it indicates us to reduce speed of the vehicle and proceed safely by being vigilant
78,0,When can we apply for a driving licence,ApplyDLAfterLL,After 30 days from the date of issue of leaarners licence but within 6 months of issue
79,0,can three persons travel on two wheelers,3peopleOnTwoWheeler,No that is not allowed and is subjected to fine
80,0,"While driving a vehicle , the driver should always keep which document with them",MustKeepDocWhileDriving,The driver should always have an original driving license with them
81,0,what does yellow continous line marked at the middle of the road indicate,ContinousYellowLine,It indicates crossing yellow line is prohibited as it marks opposite moving lanes.it indicates that passing (overtaking) is not allowed
82,0,If an ambulance is approaching from back what should be done,AmbulanceGiveWay,An ambulance is an emergency vehicle so it and it should be immediately given side to overtake
83,0,minimum age requirement to get a commercial driving license,MinimumAgeForCDL,20 years
84,0,"if any pedestrainis crossing the road without pedestrian crossing, what will you do",PedestrianWithoutZebraCrossing,you will stop the vehicle till the pedestrian crosses the road
85,0,what is minimum age required to get a driving license for LMV,MinimumAgeForLMVDL,18 years
86,0,"If we want to change our lane while driving, what should you do ",ChangeLaneWhileDriving,"Indicate by light signals called use indicators and then change the lane, when you feel safe to do so by keeping proper distance to other vehicles"
87,0,Is it necessary to stop at red light,StopAtRedLight,it is always necessary to stop at redlight
88,0,what is the validity of pollution under control certificate,ValidityOfPUC,It is 6 months from the date of issue
89,0,What is validity of vehicle insurance,ValidityOfVI,1 year
90,0,If you have learners license what will you do for learning to drive,WhatTodoIfHoldLL,"You will learn to drive with a trained driver sitting next to you, who has a valid driving license"
91,0,to cross the road should pedestrian crossing be used,WhatUseToCrossRoad,Always use pedestrian crossing to cross the road
92,0,What is the colour of the number plate of private vehicles ,PrivateNoPlateColor,It has white background with black letters and numbers
93,0,What will you do while approaching main/major road,ApproachingMajorRoad,"You should stop the vehicle and look both sides of the main road, then aftr seeing a clear road you should move on to the main road"
94,0,What are the colors of the traffic signal,TrafficSignalColor,Traffic signal is identified mainly by three colors which are red yellow and green
95,0,what do the traffic light colours mean,TrafficSignalColorMeaning,"the red colour means we have to stop, green colour mean we can go, and yellow light means we have to slow down and be cautious of our surroundings"
96,0,why should we hold the hand rail while getting on or off the bus,WhyHoldHandRail,It is necessary because the bus can move and this can cause the person getting on or off to get hurt.Hence holding the hand rail provides saftey
97,0,Why is zebra crossing in black and white colour,WhyZebraCrossingBlacknWhite,Balck and white are contrasting colours and our human eyes are very sensitive to contrasting colours and thus it can be detected from slightest movements
98,0,What amount of blood flows in a human body,BloodFlowInHumanBody,The average adult has about 4.5 to 5.5 liters of blood circulating inside their body
